,TA,Total,Male,Female,3rd,4th,5th,6th,7th,8th,White,Black or African American,Hispanic,Asian,American Indian or Alaska,Filipino,Native Hawaiian or Pacific Islander,Multi Racial,El,REFP,Black or AfricanA American,American Indian or Alaska Native,Native Hawaiian or Pacific Isalnder
0,BOY22,76.8,86.96,64.29,0.0,77.08,78.67,,,,78.02,,50.0,95.0,,,,,0.0,80.0,33.33,,
1,FALL22,89.17,91.3,86.27,33.33,90.91,90.41,,,,86.81,,80.0,100.0,,,,,0.0,100.0,100.0,1.0,
2,BOY23,78.43,88.57,67.68,75.36,79.25,80.49,,,,78.06,,50.0,92.59,,,,100.0,0.0,71.43,75.0,1.0,
3,SPRG23,82.11,88.07,76.15,85.71,77.59,79.76,,,,82.53,,46.15,96.67,,,,100.0,0.0,71.43,50.0,1.0,
4,FALL23,79.44,85.71,72.95,76.12,92.0,83.12,,,,80.1,,43.75,96.55,,,,100.0,0.0,100.0,75.0,1.0,
5,WINT23,84.72,94.81,73.13,85.71,91.49,80.26,,,,86.24,,57.14,95.24,,,,,0.0,83.33,33.33,1.0,
